t,S_a,I_a,S_h,I_h,R_h
0.000000000000000000e+00,9.900000000000000000e+03,1.000000000000000000e+02,9.999000000000000000e+03,1.000000000000000000e+00,0.000000000000000000e+00
1.001001001001001072e+02,1.446643388948348002e+04,9.553646440276153839e+01,1.288094207289750739e+04,4.566015135140894188e+00,4.099614775466645256e+01
2.002002002002002143e+02,2.008379148997209631e+04,9.239938102687573007e+01,1.574106940489507724e+04,5.158958096422798789e+00,8.946845606273403462e+01
3.003003003003003073e+02,2.626897663269456461e+04,9.065163208307410514e+01,1.858001112647069385e+04,5.709431445852613862e+00,1.434312773993293035e+02
4.004004004004004287e+02,3.230089295781018882e+04,9.026137806143275100e+01,2.139828351103219393e+04,6.247304542192231303e+00,2.026014580006043957e+02
5.005005005005005501e+02,3.752567760796680523e+04,9.109604636195689409e+01,2.419602080610355915e+04,6.787820663595955928e+00,2.669198420367285962e+02
6.006006006006006146e+02,4.160636075052489468e+04,9.295667762851648774e+01,2.697320088100869907e+04,7.335348830724739422e+00,3.364216689889619261e+02
7.007007007007007360e+02,4.454327826937383361e+04,9.562891628637633801e+01,2.972979179178037884e+04,7.888113715498334066e+00,4.111510917439471200e+02
8.008008008008008574e+02,4.653482946759693732e+04,9.892216151023468740e+01,3.246581905706892212e+04,8.442183908912323176e+00,4.911209220688908772e+02
9.009009009009009787e+02,4.783129910833595204e+04,1.026867142534974846e+02,3.518137818496394175e+04,8.993794412530112581e+00,5.763042372877988555e+02
1.001001001001001100e+03,4.865290183805296692e+04,1.068140864456169083e+02,3.787662120706810674e+04,9.540217272772702373e+00,6.666414968286883322e+02
1.101101101101101222e+03,4.916464022683493386e+04,1.112295700405600343e+02,4.055173675315262517e+04,1.007982370957803298e+01,7.620517653029395433e+02
1.201201201201201229e+03,4.947985359725396120e+04,1.158832865034714246e+02,4.320693264055519103e+04,1.061184456862878456e+01,8.624426855996512131e+02
1.301301301301301464e+03,4.967258070193890308e+04,1.207424748620042720e+02,4.584242339201194409e+04,1.113608730493586840e+01,9.677176881720283745e+02
1.401401401401401472e+03,4.978978005295936600e+04,1.257856971948569651e+02,4.845842241524426208e+04,1.165270587060708785e+01,1.077780543770242048e+03
1.501501501501501707e+03,4.986070470853548613e+04,1.309987958172151821e+02,5.105513754901602078e+04,1.216203857550726219e+01,1.192537969294068262e+03
1.601601601601601715e+03,4.990338943431138614e+04,1.363721728174533894e+02,5.363276892785794189e+04,1.266450386399210970e+01,1.311900894002515315e+03
1.701701701701701722e+03,4.992887812052443769e+04,1.418990105082246487e+02,5.619150827068858052e+04,1.316053686365345854e+01,1.435784897639722658e+03
1.801801801801801957e+03,4.994390785434925056e+04,1.475741183539350629e+02,5.873153899558552803e+04,1.365055412105999544e+01,1.564110165885696460e+03
