t,S_a,I_a,S_h,I_h,R_h
0.000000000000000000e+00,9.900000000000000000e+03,1.000000000000000000e+02,9.999000000000000000e+03,1.000000000000000000e+00,0.000000000000000000e+00
1.001001001001001072e+02,1.446716584878554750e+04,9.490739344355657181e+01,1.288112873950008907e+04,4.544719461321947485e+00,4.090271785140942029e+01
2.002002002002002143e+02,2.008562492476561602e+04,9.093095970417907381e+01,1.574195619373047157e+04,5.102592211440414083e+00,8.899929055402971301e+01
3.003003003003003073e+02,2.627213028509374999e+04,8.808862824779782841e+01,1.858236487791133186e+04,5.602520982910818681e+00,1.421618757168834293e+02
4.004004004004004287e+02,3.230532370751123381e+04,8.631833674886541985e+01,2.140315788588216674e+04,6.072953549871077605e+00,1.999460772899144558e+02
5.005005005005005501e+02,3.753113117850938579e+04,8.547839057426828901e+01,2.420476479538928470e+04,6.529321304485496746e+00,2.621257799278481571e+02
6.006006006006006146e+02,4.161253867132389132e+04,8.538055665065941469e+01,2.698743927687883115e+04,6.977633289532373162e+00,3.285794754641759141e+02
7.007007007007007360e+02,4.454997171306351083e+04,8.583372297457205491e+01,2.975138639372386751e+04,7.418521333029950426e+00,3.992160568791106243e+02
8.008008008008008574e+02,4.654194512205336650e+04,8.667470062959807819e+01,3.249682364229281666e+04,7.850530445523498102e+00,4.739384737880790794e+02
9.009009009009009787e+02,4.783882577129548736e+04,8.777940124443009040e+01,3.522399701139249373e+04,8.272023886400640791e+00,5.526335833843850196e+02
1.001001001001001100e+03,4.866087820238015411e+04,8.906042088528641898e+01,3.793317541715561674e+04,8.681928488978462255e+00,6.351748738645612775e+02
1.101101101101101222e+03,4.917312395644789649e+04,9.045914877409788346e+01,4.062463903898143326e+04,9.079837105590906177e+00,7.214289967939428152e+02
1.201201201201201229e+03,4.948890273366629117e+04,9.193746582737681194e+01,4.329866874076205568e+04,9.465865269459884601e+00,8.112618251755073970e+02
1.301301301301301464e+03,4.968225141038576112e+04,9.347102525656455896e+01,4.595553866653393197e+04,9.840465724265458292e+00,9.045427418603416072e+02
1.401401401401401472e+03,4.980011978898625966e+04,9.504442464770622223e+01,4.859551187754922285e+04,1.020427542944808685e+01,1.001147191292380057e+03
1.501501501501501707e+03,4.987175632316709380e+04,9.664795051128670877e+01,5.121883825116905064e+04,1.055800905327198613e+01,1.100957927121961575e+03
1.601601601601601715e+03,4.991518696101576643e+04,9.827546150523876634e+01,5.382575385855777859e+04,1.090239307470279151e+01,1.203865401394336004e+03
1.701701701701701722e+03,4.994145096699491842e+04,9.992303986876544286e+01,5.641648122537167364e+04,1.123812705893558928e+01,1.309767639517461021e+03
